market_constraint,dayzer_constraint,pano_constraint
RAMAPO  138 KV  RAM-SMA | 345/138.SOUTHMAHWAH.BK258,RAMAPO_138 KV_RAM-SMA:345/138.SouthMahwah.BK258,RAMAPO 138KV - SMAWA 138KV (RAMAPO 138 KV RAM-SMA) | 345/138.SouthMahwah.BK258
ETOWANDA-HILLSIDE 2002 TIE  A   230 KV | L500.HOPATCONG-LACKAWANNA.5063,ETOWANDA_230 KV_ETO-HIL:L500.Hopatcong-Lackawanna.5063,ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL) | L500.Hopatcong-Lackawanna.5063
94 HAURD-11323 11323 B 138 KV | L345.NELSON-ELECTRICJUNCTION.15502,94 HAURD_138 KV_11323:L345.Nelson-Electric Junction.15502,94 HAURD 138KV - 11323 138KV (94 HAURD 138 KV 11323) | L345.Nelson-ElectricJunction.15502
BERWICK 69 KV BERWICK-KOONSVIL | ACTUAL,KOONSVIL_69 KV_XFMR1:ACTUAL,BERWICK-KOONSVIL            A  69 KV | BASE
PREST TIBB 138 KV L/O PRAIRIE STATE MT VERNON 345 KV | PRAIRIE STATE-W MT. VERNON 345,PRES_138 KV_PRE-TIBB:Prairie State-W Mt. Vernon 345,PRES 138KV - TIBB 138KV (PRES 138 KV PRE-TIBB) | Prairie State-W Mt. Vernon 345
CHICAGO-PRAXAIR3 138 KV L/O WILTON CENTER-DUMONT 765 KV | L765.DUMONT-WILTONCENTER.11215,12204_138 KV_12204 2:L765.Dumont-Wilton Center.11215,16914   138 KV  16914 2 | L765.Dumont-Wilton Center.11215
ELIMA   138 KV  ELI-HAV1 | L765.MARYSVILLE-SORENSON,ELIMA_138 KV_ELI-HAV1:L765.Marysville-Sorenson,HAVILAND 138KV - ELIMA 138KV (ELIMA 138 KV ELI-HAV1) | L765.Marysville-Sorenson
DOEX530 345 KV  203T | ACTUAL,DOEX530_345 KV_203T:ACTUAL,DOEX530 13.8KV - DOEX530 345KV (DOEX530 345 KV 203T) | BASE
DOEX530 345 KV  208T | ACTUAL,DOEX530_345 KV_208T:ACTUAL,DOEX530 345 KV  208T | BASE
BOONETWN230 KV  BOO-SRE | 500/230.LAUSCHTOWN.T3,BOONETWN_230 KV_BOO-SRE:500/230.Lauschtown.T3,BOONETWN 230KV - SREADING 230KV (BOONETWN 230 KV BOO-SRE) | 500/230.Lauschtown.T3
23 COLLI 345 KV 23 COLLINS 45TR92 CT | L765.COLLINS - PLANO.2315,23 COLLI_345 KV_TR92CT-S:L765.Collins - Plano.2315,23 COLLINS  45TR92 CT       H  345 KV | L765.Collins - Plano.2315
ALLENIM 345 KV  ALL-RPM | L765.MARYSVILLE-SORENSON,ALLENIM_345 KV_ALL-RPM:L765.Marysville-Sorenson,ALLENIM 345KV - RPMONE 345KV (ALLENIM 345 KV ALL-RPM) | L765.Marysville-Sorenson
94 HAURD138 KV 96101 | ACTUAL,,
PRESTON-TANYARD 6716-5 B 69 KV | 230/138.VIENNA.AT20,PRESTON_69 KV_PRE-TAN:230/138.Vienna.AT20,TANYARD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TAN) | 230/138.Vienna.AT20
TMI 500 KV TMI 1 BANK XFORMER | L500.CONASTONE-PEACHBOTTOM.5012,TMI_500 KV_1 BANK:L500.Conastone-PeachBottom.5012,TMI 500KV - TMI 230KV (TMI 500 KV 1 BANK) | L500.Conastone-PeachBottom.5012
NORTHWEST TAP - PURDUE 138 KV L/O WESTWOOD - W LAFAYETTE 138 KV | L138.WESTWOOD-08NW_TAP-WLAFYETT,,Northwest Tap - Purdue 138 kV l/o Westwood - W Lafayette 138 kV | L138.Westwood-08NW_Tap-WLafyett
LORETTO 138 KV LORETTO-VIENNA 13780 | 230/138.PINEYGROVE.AT20,VIENNA_138 KV_AT2:230/138.PineyGrove.AT20,VIENNA 138KV - LORETTO 138KV (LORETTO 138 KV LOR-VIE) | 230/138.PineyGrove.AT20
DUNEACRE - MICHIGAN CITY 13839 138 KV L/O WILTON CENTER - DUMONT 765 KV | L765.DUMONT-WILTONCENTER.11215,12204_138 KV_12204 2:L765.Dumont-Wilton Center.11215,Michigan City - DuneAcre 138 kV l/o Dumont - Wilton Center 765 kV | L765.Dumont-WiltonCenter.11215
COOLSPRI230 KV  COL-MIL | L230.INDIANRIVER-MILFORD.23034,COOLSPRI_230 KV_COL-MIL:L230.IndianRiver-Milford.23034,MILFORD 230KV - COOLSPRI 230KV (COOLSPRI 230 KV COL-MIL) | L230.IndianRiver-Milford.23034
945 CRET 345 KV CRETEIPP-STJOHNS | DUMONT-WILTON CENTER 765KV,STJOHNS_345 KV_2:Dumont-Wilton Center 765kV,CRETEIPP-STJOHNS TIE        B  345 KV | DUMONT WILTON CENTER 765KV LINE (L11215)
4 QUAD C 345 KV 4 QUAD CITY 45TR1 18 | ACTUAL,4 QUAD C_345 KV_TR1 18:ACTUAL,
PLEASNTV-ASHBURN 274D A 230 KV | L230.GOOSECREEK-ASHBURN-BEAUMEADE.227,PLEASNTV_230 KV_274D:L230.GooseCreek-Ashburn-Beaumeade.227,PLEASNTV 230KV - ASHBURN 230KV (PLEASNTV 230 KV 274D) | L230.GooseCreek-Ashburn-Beaumeade.227
PREST - TIBBS 138 KV L/O ASTER - COMMODORE 345 KV | ASTER - CMDR 345 KV,PRES_138 KV_PRE-TIBB:Aster - CMDR 345 kV,PRES 138KV - TIBB 138KV (PRES 138 KV PRE-TIBB) | Aster - CMDR 345 kV
CONASTON 230 KV CONASTON-NORTHWES 2322 | L230.CONASTONE-NORTHWEST.2310,CONASTON_230 KV_CNS-GRA:L230.Conastone-Northwest.2310,CONASTON-NORTHWES 2322      A   230 KV | L230.Conastone-Northwest.2310
74 KEWAN B1Z1 DIS              138 KV | L138.CORBIN-CRESCENTRIDGE.98105,74 KEWAN_138 KV_BTIE Z1:L138.Corbin-CrescentRidge.98105,74 KEWAN B1Z5 DIS              138 KV | L138.Corbin-CrescentRidge.98105
4 QUAD C345 KV  TR2 18 | ACTUAL,4 QUAD C_345 KV_TR2 18:ACTUAL,
FACEROCK69 KV   FAROZBR | L500.CONASTONE-PEACHBOTTOM.5012,FACEROCK_69 KV_FAROZBR:(NUKE) L500.PeachBottom-Conastone.5012,FACEROCK69 KV   FAROZBR | L500.Conastone-PeachBottom.5012
CHAPRLTP 230 KV CHAPRLTP-CARSON4 249B | L500.CARSON-MIDLOTHIAN.563,CHAPRLTP_230 KV_249B:L500.Carson-Midlothian.563,CARSON4 230KV - CHAPRLTP 230KV (CHAPRLTP 230 KV 249B) | L500.Carson-Midlothian.563
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX | 230/115.LEWISTOWN.T3,GARDNERS_115 KV_GAR-TEX:230/115.Lewistown.T3,TEXSEAST 115KV - GARDNERS 115KV (GARDNERS 115 KV GAR-TEX) | 230/115.Lewistown.T3
BENTONHA138 KV  BEN-WES1 | ACTUAL,BENTONHA_138 KV_BEN-WES1:ACTUAL,
177 BURN 345 KV BURNHAM-MUNSTER2 TIE | L765.DUMONT-WILTONCENTER.11215,945 CRET_345 KV_CRE-CRET:L765.Dumont-WiltonCenter.11215,177 BURN 345KV - MUNSTER2 345KV (177 BURN 345 KV BUR-MUN1) | L765.Dumont-WiltonCenter.11215
CONASTON 230 KV CONASTON-NORTHWES 2322 | L500.BRIGHTON-CONASTONE.5011,CONASTON_230 KV_CNS-GRA:L500.Brighton-Conastone,CONASTON-NORTHWES 2322      A  230 KV | L500.Bedington-Black Oak + L500.Brighton-Conastone
GRACETON_230KVGRA-MANO_1_LN | L500.CONASTONE-PEACHBOTTOM.5012,GRACETON_230 KV_GRA-MANO:L500.Conastone-PeachBottom.5012,MANOR 230KV - GRACETON 230KV (GRACETON 230 KV GRA-MANO) | L500.Conastone-PeachBottom.5012
ETOWANDA-HILLSIDE 2002 TIE  A   230 KV | L345.MAINESBURG-WATERCURE [NYISO],ETOWANDA_230 KV_ETO-HIL:L345.Mainesburg-Watercure [NYISO],ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL) | L345.Mainesburg-Watercure [NYISO]
CEDARCRE230 KV  CED-SIL | L230.CARTANZA-MILFORD.23033,CEDARCRE_230 KV_CED-SIL:L230.Cartanza-Milford.23033,CEDARCRE230 KV  CED-RED | L230.Cartanza-Milford.23033
LINVFT 230 KV LINVFT -VFT_ST LIN-VFT1 | ACTUAL,LINVFT_230 KV_LIN-VFT1:ACTUAL,VFT_ST 230KV - LINVFT 230KV (LINVFT 230 KV LIN-VFT1) | BASE
STILLWELL-DUMONT 345 L/O WILTON CENTER-DUMONT 765 | L765.DUMONT-WILTONCENTER.11215,12204_138 KV_12204 2:L765.Dumont-Wilton Center.11215,Casey-Breed 345 l/o Wilton Center-Dumont 765 | L765.Dumont-Wilton Center.11215
FREMNT  138 KV  FRE-WFR1 | ACTUAL,FREMNT_138 KV_FRE-WFR1:ACTUAL,WFREMONT 138KV - FREMNT 138KV (FREMNT 138 KV FRE-WFR1) | BASE
PA-CENT CONTINGENCY 1 | L500.JUNIATA-SUNBURY.5046,JUNIATA_500 KV_2:L500.Juniata-Sunbury.5046,TRANSFER INTERFACE: PA-CENT | L500.Juniata-Sunbury.5046
74 KEWAN B1Z1 DIS             138 KV | L138.CORBIN-CRESCENTRIDGE.98105,74 KEWAN_138 KV_BTIE Z1:L138.Corbin-CrescentRidge.98105,74 KEWAN B1Z5 DIS              138 KV | L138.Corbin-CrescentRidge.98105
SUB85_SUB18_161_FLO_OAKGROVE_LOUISA_345 | L345.OAKGROVE-LOUISA (MEC),,
POWERTON-TOWERLINE 138 KV L/O FARGO-SANDBURG 345 KV | L345.FARGO-SANDBRG,,
12 DRESDEN 45TR81 CT H 345 KV | L345.LOCKPORT-KENDALL.10805,12 DRESD_345 KV_1220:L345.Lockport-Kendall.10805,12 DRESD 345KV - 900 ELWO 345KV (12 DRESD 345 KV 1220) | L345.Lockport-Kendall.10805
KINGSTON69 KV   KST-WOR | ACTUAL,KINGSTON_69 KV_KST-WOR:ACTUAL,
SHADELAND-LAFAYETTE SOUTH 13808 L/O WESTWOOD-NW TAP 13806 | WESTWOOD-08NW_TAP-WLAFYETT 138,,08NW_Tap-Purdue 138 l/o Westwood-08NW_Tap-WLafyett 138 | Westwood-08NW_Tap-WLafyett 138
WHITESTN 115 KV WHITESTN-HARMONYV 65A | L230.FREDERICKSBURG-BIRCHWOOD.2083,HARMONYV_230 KV_TX2:L230.Fredericksburg-Birchwood.2083,WHITESTN-HARMONYV 65A       B  115 KV | L230.Fredericksburg-Birchwood.2083
JUNIATA 2 XFORMER H 500 KV | 500/230.JUNIATA.T1,JUNIATA_500 KV_2:500/230.Juniata.T1,JUNIATA 500KV - JUNIATA 230KV (JUNIATA 500 KV 2) | 500/230.Juniata.T1
GARRETAP-GARRETT B 115 KV | ACTUAL,GARRETAP_115 KV_GAR-GAR:ACTUAL,GARRETAP 115KV - GARRETT 115KV (GARRETAP 115 KV GAR-GAR) | BASE
MEHOOPAN115 KV  MEH-NME1 | NORTH MESHOPPEN - MEHOOPANY2 115 KV LINE,MEHOOPAN_115 KV_MEH-NME1:North Meshoppen - Mehoopany2 115 kV line,MEHOOPAN 115KV - NMESHOPP 115KV (MEHOOPAN 115 KV MEH-NME1) | North Meshoppen - Mehoopany2 115 kV line
GRACETON230 KV  GRA-MANO | L500.CONASTONE-PEACHBOTTOM.5012,GRACETON_230 KV_GRA-MANO:L500.Conastone-PeachBottom.5012,GRACETON230 KV  GRA-SAF | (NUKE) L500.PeachBottom-Conastone.5012
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV | 500/230.CONASTONE.500-4,NOTTINGH_230 KV_2-3:500/230.Conastone.500-2,NOTTINGHM 2-3 SER DEV       A  230 KV | 500/230.Conastone.500-4
CONASTON-PEACHBOT 5012 A 500 KV | ACTUAL,PEACHBOT_500 KV_1-P:ACTUAL,
CEDARGRO 230 KV CEDARGRO-CLIF B-2228-3 PS | L230.CEDARGROVE-CLIFTON-ATHENIA.K-2263,CEDARGRO_230 KV_CED-CLIK:L230.CedarGrove-Clifton-Athenia.B-2228,CEDARGRO-CLIF  B-2228-3 PS  A  230 KV | L230.CedarGrove-Clifton-Athenia.K-2263 + Ath.T2
BRIGHTON 6AB           CB      500 KV | 500/230.BRIGHTON.T1,,BRIGHTON 500KV - BRIGHTON 230KV (BRIGHTON 500 KV NO.3TR) | 500/230.Brighton.T1
TURKEY HILL-HILGARD 138 KV L/O PRAIRIE STATE-MT VERNON 345 KV | PRAIRIE STATE-W MT. VERNON 345,HILG_138 KV_HIL-TURK:Prairie State-W Mt. Vernon 345,Turkey Hill-Mascouta 138 kV l/o Prairie State-Mt Vernon 345 kV | Prairie State-W Mt. Vernon 345
SANDBURG XFMR 3 161/138 KV L/O OAK GROVE - SANDBURG 345 KV | OAK GROVE - SANDBURG 345 KV,,
BIGPINET138 KV  BIG-KIS | L138.SPRINGDALE-ALL4JCT-ALL4TAP-ALL6-BRACKENRIDGE,BIGPINET_138 KV_BIG-KIS:L138.Springdale-All4Jct-All4Tap-All6-Brackenridge,GARRNJCT138 KV  GAR-KIS | L138.Springdale-All4Jct-All4Tap-All6-Brackenridge
CONASTON-PEACHBOT 5012 A 500 KV | L500.HUNTERSTOWN-CONASTONE.5013,CONASTON_500 KV_CNS-PEA:L500.Hunterstown-Conastone.5013,PEACHBOT 500KV - CONASTON 500KV (CONASTON 500 KV CNS-PEA) | L500.Hunterstown-Conastone.5013
CHARLTSV 230 KV CHARLTSV-PROFITDP 2054B1 | L500.ELMONT-CUNNINGHAM.553,CHARLTSV_230 KV_2054B1:L500.Elmont-Cunningham.553,CHARLTSV 230KV - PROFITDP 230KV (CHARLTSV 230 KV 2054B1) | L500.Elmont-Cunningham.553
MT.VERNON-W.SALEM 138 KV L/O XENIA-NEWTON 345 KV | XENIA-NEWTON (31330323) 345 LINE,,Mt.Vernon-W.Salem 138 kV l/o Xenia-Newton 345 kV | Xenia-Newton (31330323) 345 Line
BAGLEY 230 KV BAGLEY -GRACETON BAG-GRA | L230.GRACETON-BAGLEY-RAPHAELROAD.2313,BAGLEY_230 KV_BAG-GRA:L230.Graceton-Bagley-RaphaelRoad.2313,GRACETON 230KV - BAGLEY 230KV (BAGLEY 230 KV BAG-GRA) | L230.Graceton-Bagley-RaphaelRoad.2313
BAGLEY 230 KV BAGLEY -GRACETON BAG-GRA | L500.BRIGHTON-CONASTONE.5011,BAGLEY_230 KV_BAG-GRA:L500.Brighton-Conastone,GRACETON 230KV - BAGLEY 230KV (BAGLEY 230 KV BAG-GRA) | L500.Brighton-Conastone.5011
ASHBURN-GOOSECRE 227D       B  230 KV | L230.BEAUMEAD-ASHBURN-PLEASANTVIEW.274,ASHBURN_230 KV_227B:L230.Beaumead-Ashburn-PleasantView.274,ASHBURN 230KV - BEAUMEAD 230KV (ASHBURN 230 KV 227B) | L230.Beaumead-Ashburn-PleasantView.274
MARDELA-VIENNA 6708-1 A 69 KV | L138.LORETTO-VIENNA.13780,MARDELA_69 KV_MAR-VIE:L138.Loretto-Vienna.13780,MARDELA-VIENNA 6708-1       A  69 KV | L138.Loretto-Vienna.13780
ELIMA   138 KV  ELI-HAV1 | L345.EASTLIMA-MADDOXCREEK,ELIMA_138 KV_ELI-HAV1:L345.EastLima-MaddoxCreek,HAVILAND 138KV - ELIMA 138KV (ELIMA 138 KV ELI-HAV1) | L345.EastLima-MaddoxCreek
FREMNT-FREMONTC A 138 KV | L138/69.FREMONT.T1 + 69.FREMONT.BUS,FREMNT_138 KV_FRE-FRE1:L138/69.Fremont.T1 + 69.Fremont.Bus,FREMNT 138KV - FREMONTC 138KV (FREMNT 138 KV FRE-FRE1) | L138/69.Fremont.T1 + 69.Fremont.Bus
CUSHAW 115 KV CUSHAW -BALCFALL 28A | ACTUAL,CUSHAW_115 KV_28A:ACTUAL,BALCFALL 115KV - CUSHAW 115KV (CUSHAW 115 KV 28A) | BASE
CUMB PL 230 KV CUMB PL-JUNIATA 2235 | L500.CONASTONE-PEACHBOTTOM.5012,JUNIATA_230 KV_JUN-LEW:L500.Conastone-PeachBottom.5012,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN) | L500.Conastone-PeachBottom.5012
BUTLER  69 KV   BUT-SHE | L69.SHERMAN-VINELAND.0761,BUTLER_69 KV_BUT-SHE:L69.Sherman-Vineland.0761,SHERMAN 69KV - BUTLER 69KV (BUTLER 69 KV BUT-SHE) | L69.Sherman-Vineland.0761
NEWCARLI138 KV  NEW-PLE | ACTUAL,NEWCARLI_138 KV_NEW-PLE:ACTUAL,
LENOX 115 KV LENOX-NMESHOPP NML 1090 | L500.HOPATCONG-LACKAWANNA.5063,LENOX_115 KV_LEN-MAC:L500.Hopatcong-Lackawanna.5063,NMESHOPP 115KV - LENOX 115KV (LENOX 115 KV LEN-NME) | L500.Hopatcong-Lackawanna.5063
CEDARSUB230 KV CED-WILF | L230.CEDARGROVE-CEDARSUB-ROSELAND.Y-2277,CEDARSUB_230 KV_CED-WILF:L230.CedarGrove-CedarSub-Roseland.Y-2277,CEDARSUB230 KV  CED-ROSF | L230.CedarGrove-Roseland.Y-2277
GRABILL 138 KV GRABILL-ROBISONP | L138.AUBURN-VARNER,GRABILL_138 KV_GRA-ROB1:L138.Auburn-Varner,ROBISONP 138KV - GRABILL 138KV (GRABILL 138 KV GRA-ROB1) | L138.Auburn-Varner
MOUN UGI 230 KV MOUN UGI 3 XFORMER | ACTUAL,MOUN UGI_230 KV_3:ACTUAL,
CEDARSUB230 KV CED-WILF | L500.HOPATCONG-RAMAPO.5018,5018,CEDARGRO230 KV  CED-CLIK | L500.Hopatcong-Ramapo.5018
HOPECREE230 KV  HOP-SIL | L500.HOPECREEK-REDLION.5015,HOPECREE_230 KV_HOP-SIL:L500.HopeCreek-RedLion.5015,HOPECREE 230KV - SILVERUN 230KV (HOPECREE 230 KV HOP-SIL) | L500.HopeCreek-RedLion.5015
MERIDIAN345 KV  MER-TWI1 | L765.DUMONT-SORENSON,MERIDIAN_345 KV_MER-TWI1:L765.Dumont-Sorenson,TWINBRAN 345KV - MERIDIAN 345KV (MERIDIAN 345 KV MER-TWI1) | L765.Dumont-Sorenson
BIGPINET138 KV  BIG-KIS | L138.KITTANNING-ALLDAM6,BIGPINET_138 KV_BIG-KIS:L138.Kittanning-AllDam6,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS) | L138.Kittanning-AllDam6
BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT | ACTUAL,BUTL APS_138 KV_BUT-KAR:ACTUAL,BUTL APS-KARNSCIT KC-BT     A  138 KV | MAXCR: 500/230.Keystone.T4+U1+U2+5003+5004
LOGTOWN 138 KV  LOG-NDEL | L765.MARYSVILLE-SORENSON,LOGTOWN_138 KV_LOG-NDEL:L765.Marysville-Sorenson,LOGTOWN 138KV - NDELPHOS 138KV (LOGTOWN 138 KV LOG-NDEL) | L765.Marysville-Sorenson
KRENDALE 138 KV KRENDALE-SHANORMA KND-BT | L500.CABOT-CRANBERRY,CABOT_138 KV_CAB-CAB:L500.Cabot-Cranberry,SHANORMA 138KV - KRENDALE 138KV (KRENDALE 138 KV KRE-SHA) | L500.Cabot-Cranberry
EWATERVT138 KV  EAS-WES | ACTUAL,EWATERVT_138 KV_EAS-WES:ACTUAL,
LACKAWAN-OXBOW ETP 2004 A 230 KV | ACTUAL,LACKAWAN_230 KV_2:ACTUAL,LACKAWAN-OXBOW ETP 2004     A  230 KV | Susquehanna.U1 (for SA)
BAGLEY  230 KV  BAG-RAP5 | L500.BRIGHTON-CONASTONE.5011,BAGLEY_230 KV_BAG-RAP5:L500.Brighton-Conastone.5011,BAGLEY 230KV - RAPHAERD 230KV (BAGLEY 230 KV BAG-RAP5) | L500.Brighton-Conastone.5011
REMNTNCT230 KV  299A | L230.REMINGTON-REMINGTONCT.2077,REMNTNCT_230 KV_299A:L230.Remington-RemingtonCT.2077,MARSHRUN 230KV - REMNTNCT 230KV (REMNTNCT 230 KV 299A) | L230.Remington-RemingtonCT.2077
JORDAN - WFRANKFORT E 138KV L/O JORDAN - MASSAC 345KV | JORDAN- MASSAC 345KV,E W FKF3_138 KV_EWF-JORD:Jordan- Massac 345kV,JORD 138KV - E W FKF3 138KV (E W FKF3 138 KV EWF-JORD) | Jordan- Massac 345kV
COLLEGEC 138 KV COLLEGEC-COLLINSV | L765.MARYSVILLE-SORENSON,COLLEGEC_138 KV_COL-COL6:L765.Marysville-Sorenson,COLLEGEC 138KV - COLLINSV 138KV (COLLEGEC 138 KV COL-COL6) | L765.Marysville-Sorenson
HARWOOD 230 KV HARWOOD -SUSQUEHA HAR-SUS2 | L230.HARWOOD-SUSQUEHANNA.1,HARWOOD_230 KV_HAR-SUS2:L230.Harwood-Susquehanna.1,SUSQUEHA 230KV - HARWOOD 230KV (HARWOOD 230 KV HAR-SUS2) | L230.Harwood-Susquehanna.1
MAYWOOD 230 KV MAYWOOD-SADDLEBR G-2259 | ACTUAL,MAYWOOD_230 KV_T2:ACTUAL,MAYWOOD-SADDLEBR G-2259     A  230 KV | L230.Hudson-SouthWaterfront.H2313
MARDELA-VIENNA 6708-1 A 69 KV | 230/138.PINEYGROVE.AT20,VIENNA_230 KV_AT20:230/138.PineyGrove.AT20,MARDELA-VIENNA 6708-1      B  69 KV | 230/138.PineyGrove.AT20+L230.PinyGrve-IndinR.23002
KOKOMO - TIPTON W. 230KV L/O NUCOR - CAYUGA 345KV | NUCOR-CAYUGA 345 KV,,KOKOMOPS 230KV - TIPTON W 230KV (KOKOMOPS 230 KV KOK-TIP) | Nucor-Cayuga 345 kV
GREYSPT 115 KV  GRE-HARM | L230.FREDERICKSBURG-BIRCHWOOD.2083,GREYSPT_115 KV_GRE-HARM:L230.Fredericksburg-Birchwood.2083,HARMONYV 115KV - GREYSPT 115KV (GREYSPT 115 KV GRE-HARM) | L230.Fredericksburg-Birchwood.2083
MAROA -E GOOSECREEK 345 KV L/O WILTON CENTER-DUMONT 765 KV FG | L765.DUMONT-WILTONCENTER.11215,COOK_765 KV_4-P:L765.Dumont-Wilton Center.11215,Maroa -E GooseCreek 345 kV l/o Wilton Center-Dumont 765 kV | L765.Dumont-WiltonCenter.11215
BRUNNERI 230 KV BRUNNERI-YORKANA 1055 | L500.CONASTONE-PEACHBOTTOM.5012,BRUNNERI_230 KV_BRU-WHE:L500.Conastone-PeachBottom.5012,BRUNNERI 230KV - YORKANA 230KV (BRUNNERI 230 KV BRU-YOR) | L500.Conastone-PeachBottom.5012
PARADISE-BR TAP 161KV L/O WILSON BR UNIT 1 | WILSON UNIT 1,BR_TAP_161 KV_BRT-PAR:Wilson Unit 1,PARADIS 161KV - BR_TAP 161KV (BR_TAP 161 KV BRT-PAR) | Wilson Unit 1
RISING BONDVILL 138 KV L/O RISING SIDNEY 345 KV | L345.RISING-SIDNEY,RISING_138 KV_1642:Sidney-Rising 345 kV,RISING 345KV - RISING 138KV (RISING 345 KV 45TR1) | L345.Rising-Sidney
MOHOMET - CHAMPTP 138 KV L/O CLINTON-OREANA-GOOSECRK 345 KV | L345.OREANA-MAROA-CLINTON-GOOSECREEK,CHAMP T3_138 KV_1592 2:L345.Oreana-Maroa-Clinton-GooseCreek,Brokaw-N Leroy 138 kV l/o Clinton-Oreana-GooseCrk 345 kV | Clinton-Oreana-GooseCrk 345 kV
TRENTON2138 KV  TRE-COL1 | ACTUAL,TRENTON2_138 KV_TRE-COL1:ACTUAL,
BAGLEY  230 KV  BAG-GRAC | L500.BRIGHTON-CONASTONE.5011,BAGLEY_230 KV_BAG-GRAC:L500.Brighton-Conastone,GRACETON 230KV - BAGLEY 230KV (BAGLEY 230 KV BAG-GRAC) | L500.Brighton-Conastone.5011
EASTON-EMUNI 6772 A 69 KV | ACTUAL,EASTON_69 KV_EAS-EMU:ACTUAL,
16901   138 KV  16901 Z1 | ACTUAL,16901_138 KV_16901 Z1:ACTUAL,979 MEND 138KV - 16901 138KV (16901 138 KV 16901 Z1) | BASE
BRAMBLET230 KV  BRA-EVRG | L230.BRAMBLETON-POLANDROAD.2183,BRAMBLET_230 KV_BRA-EVRG:L230.Brambleton-PolandRoad.2183,BRAMBLET230 KV  2045A | L230.Brambleton-PolandRoad.2183
74 KEWAN B1Z5 DIS              138 KV | L138.CORBIN-CRESCENTRIDGE.98105,74 KEWAN_138 KV_BTIE Z1:L138.Corbin-CrescentRidge.98105,74 KEWAN B1Z5 DIS              138 KV | L138.Corbin-CrescentRidge.98105
HANOVER 69 KV   HAN-PAR | ACTUAL,HANOVER_69 KV_HAN-PAR:ACTUAL,HANOVER 69KV - PARRISPL 69KV (HANOVER 69 KV HAN-PAR) | BASE
GRACETON 230 KV GRACETON-SAFEHARB 2303 | 500/230.CONASTONE.500-4,GRACETON_230 KV_GRA-MANO:500/230.Conastone.500-4,GRACETON-SAFEHARB 2303      A  230 KV | Conastone-Graceton 230kv
DESOTO  138 KV  DES-SEL | L765.MARYSVILLE-SORENSON,DESOTO_138 KV_DES-SEL:L765.Marysville-Sorenson,DESOTO 138KV - SELMAPAR 138KV (DESOTO 138 KV DES-SEL) | L765.Marysville-Sorenson
